ATS_CODE,BORO,BORONUM,LOC_CODE,SCHOOLNAME,SCH_TYPE,MANAGED_BY,GEO_DISTRI,ADMIN_DIST,ADDRESS,STATE_CODE,ZIP,PRINCIPAL,PRIN_PH,FAX,GRADES,City,Full Address,"Lat, Lng",lat,lng
30Q445 ,Q,4,Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,High school,1,30,30,48-10 31 AVENUE,NY,11103,Aaron M. Perez,718-721-5404,718-728-3478,"09,10,11,12,SE",QUEENS,"48-10 31 AVENUE,NY","???, ???",40.7576896,-73.9103778
24Q455 ,Q,4,Q455,NEWTOWN HIGH SCHOOL,High school,1,24,24,48-01 90 STREET,NY,11373,JOHN FICALORA,718-595-8400,718-699-8584,"09,10,11,12,SE",QUEENS,"48-01 90 STREET,NY","???, ???",40.7408369,-73.8739856
27Q475 ,Q,4,Q475,RICHMOND HILL HIGH SCHOOL,High school,1,27,27,89-30 114 STREET,NY,11418,Ms. Frances DeSanctis,718-846-3335,718-847-0980,"09,10,11,12,SE",QUEENS,"89-30 114 STREET,NY","???, ???",40.694945,-73.8337521
26Q495 ,Q,4,Q495,BAYSIDE HIGH SCHOOL,High school,1,26,26,32-24 CORP KENNEDY STREET,NY,11361,MICHAEL ATHY,718-229-7600,718-423-9566,"09,10,11,12,SE",QUEENS,"32-24 CORP KENNEDY STREET,NY","???, ???",40.771101,-73.78021
25Q540 ,Q,4,Q540,QUEENS ACADEMY HIGH SCHOOL,High school,1,25,25,138-11 35 AVENUE,NY,11354,BEVERLY SHORT,718-463-3111,718-886-5015,"10,11,12",QUEENS,"138-11 35 AVENUE,NY","???, ???",40.7656054,-73.8283396
30Q555 ,Q,4,Q555,NEWCOMERS HIGH SCHOOL,High school,1,30,30,28-01 41 AVENUE,NY,11101,ORLANDO SARMIENTO,718-937-6005,718-937-6316,"09,10,11,12",QUEENS,"28-01 41 AVENUE,NY","???, ???",40.7516035,-73.9368126
24Q560 ,Q,4,Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AN",Secondary School,1,24,24,47-07 30 PLACE,NY,11101,Ann Seifullah,718-472-5671,718-472-9117,"07,08,09,10,11,12,SE",QUEENS,"47-07 30 PLACE,NY","???, ???",40.7427084,-73.9363284
30Q575 ,Q,4,Q575,ACADEMY OF AMERICAN STUDIES,High school,1,30,30,28-04 41 AVENUE,NY,11101,ELLEN SHERMAN,718-361-8786,718-361-8832,"09,10,11,12,SE",QUEENS,"28-04 41 AVENUE,NY","???, ???",40.7513083,-73.9374106
30Q580 ,Q,4,Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,Secondary School,1,30,30,34-12 36 AVENUE,NY,11106,KELLY JOAN JOHNSON,718-361-5275,718-361-5395,"07,08,09,10,11,12",QUEENS,"34-12 36 AVENUE,NY","???, ???",40.7550475,-73.9269635
24Q600 ,Q,4,Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,High school,1,24,24,37-02 47 AVENUE,NY,11101,Melissa Burg,718-937-3010,718-392-8397,"09,10,11,12,SE",QUEENS,"37-02 47 AVENUE,NY","???, ???",40.7422205,-73.9283762
24Q610 ,Q,4,Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,High school,1,24,24,45-30 36 STREET,NY,11101,DENO CHARALAMBOUS,718-361-2032,718-784-8654,"09,10,11,12,SE",QUEENS,"45-30 36 STREET,NY","???, ???",40.743581,-73.9292176
28Q620 ,Q,4,Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HI,High school,1,28,28,165-65 84 AVENUE,NY,11432,ANTHONY D. BARBETTA,718-297-6580,718-658-0365,"09,10,11,12,SE",QUEENS,"165-65 84 AVENUE,NY","???, ???",40.7163629,-73.798836
28Q687 ,Q,4,Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT  YORK COLLE,High school,1,28,28,94-50 159 STREET,NY,11433,JIE ZHANG,718-657-3181,718-657-2579,"09,10,11,12",QUEENS,"94-50 159 STREET,NY","???, ???",40.7009286,-73.7983153
84Q706,Q,4,Q706,OUR WORLD NEIGHBORHOOD CHARTER,K-8,2,30,84,36-12 35 AVENUE,NY,11106,Brian Ferguson,718-392-3405,718-392-2840,"0K,01,02,03,04,05,06,07,08",QUEENS,"36-12 35 AVENUE,NY","???, ???",40.7557784,-73.9241441
75Q721,Q,4,Q721,P.S. Q721 - QUEENS OCCUPATIONAL TRAINING CENTER,High school,1,24,75,57-12 94 STREET,NY,11373,BETH RUDOLPH,718-760-1083,718-760-1920,"09,10,11,12,SE",QUEENS,"57-12 94 STREET,NY","???, ???",40.7358729,-73.8675318
24Q877 ,Q,4,Q877,51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE,Elementary,1,24,24,76-05 51 AVENUE,NY,11373,DIGNA ERSTEJN,718-429-5287,718-429-7344,"04,05,SE",QUEENS,"76-05 51 AVENUE,NY","???, ???",40.737207,-73.887005
28Q896 ,Q,4,Q896,"YOUNG  WOMEN'S LEADERSHIP SCHOOL, QUEENS",Secondary School,1,28,28,150-91 87 ROAD,NY,11432,AVIONNE GUMBS,718-725-0402,718-725-0390,"06,07,08,09,10,11,12",QUEENS,"150-91 87 ROAD,NY","???, ???",40.7084312,-73.8041965
75Q993 ,Q,4,Q993,P.S. Q993,K-12 all grades,1,26,75,85-15 258 STREET,NY,11001,JACQUELINE ZARETSKY,718-831-4040,718-831-4037,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",QUEENS,"85-15 258 STREET,NY","???, ???",40.7342217,-73.7089196
31R004 ,R,5,R004,P.S. 004 MAURICE WOLLIN,Elementary,1,31,31,200 NEDRA LANE,NY,10312,Mr. Marc A. Harris,718-984-1197,718-984-2324,"PK,0K,01,02,03,04,05,SE",STATEN ISLAND,"200 NEDRA LANE,NY","???, ???",40.5523733,-74.1955161
07X001 ,X,2,X001,P.S. 001 COURTLANDT SCHOOL,Elementary,1,7,7,335 EAST 152 STREET,NY,10451,JORGE PERDOMO,718-292-9191,718-292-2227,"PK,0K,01,02,03,04,05,SE",BRONX,"335 EAST 152 STREET,NY","???, ???",40.8191006,-73.9194097
10X009 ,X,2,X009,RYER AVENUE ELEMENTARY SCHOOL,Elementary,1,10,10,230 EAST 183 STREET,NY,10458,JACQUELINE BAILEY,718-584-3291,718-584-7579,"PK,0K,01,02,03,04,05,SE",BRONX,"230 EAST 183 STREET,NY","???, ???",40.8568025,-73.8989065
11X021 ,X,2,X021,P.S. 021 PHILLIP H. SHERIDAN,Elementary,1,11,11,715 EAST 225 STREET,NY,10466,JOYCE COLEMAN,718-652-3903,718-231-2556,"0K,01,02,03,04,05,SE",BRONX,"715 EAST 225 STREET,NY","???, ???",40.8879399,-73.8594064
09X022 ,X,2,X022,J.H.S. 022 JORDAN L. MOTT,Junior High-Intermediate-Middle,1,9,9,270 EAST 167 STREET,NY,10456,LINDA ROSENBURY,718-681-6850,718-681-6895,"05,06,07,08,SE",BRONX,"270 EAST 167 STREET,NY","???, ???",40.8324496,-73.9139388
10X024 ,X,2,X024,P.S. 024 SPUYTEN DUYVIL,Elementary,1,10,10,660 WEST 236 STREET,NY,10463,DONNA CONNELLY,718-796-8845,718-796-7243,"0K,01,02,03,04,05,SE",BRONX,"660 WEST 236 STREET,NY","???, ???",40.8876623,-73.9135704
07X025 ,X,2,X025,P.S. 025 BILINGUAL SCHOOL,Elementary,1,7,7,811 EAST 149 STREET,NY,10455,CARMEN TOLEDO,718-292-2995,718-292-2997,"PK,0K,01,02,03,04,05,SE",BRONX,"811 EAST 149 STREET,NY","???, ???",40.8128539,-73.9057252
07X029 ,X,2,X029,P.S./M.S. 029 MELROSE SCHOOL,K-8,1,7,7,758 COURTLANDT AVENUE,NY,10451,MEREDITH GOTLIN,718-292-3785,718-292-3784,"PK,0K,01,02,03,04,05,06,07,08,SE",BRONX,"758 COURTLANDT AVENUE,NY","???, ???",40.8216111,-73.9167681
07X030 ,X,2,X030,P.S. 030 WILTON,Elementary,1,7,7,510 EAST 141 STREET,NY,10454,Contact Superintendent,718-292-8817,718-292-3962,"PK,0K,01,02,03,04,05,SE",BRONX,"510 EAST 141 STREET,NY","???, ???",40.8090647,-73.9175195
07X031 ,X,2,X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,K-8,1,7,7,250 EAST 156 STREET,NY,10451,Liza Diaz,718-292-4397,718-292-4399,"PK,0K,01,02,03,04,05,06,07,08,SE",BRONX,"250 EAST 156 STREET,NY","???, ???",40.8225387,-73.9214871
10X032 ,X,2,X032,P.S. 032 BELMONT,Elementary,1,10,10,690 EAST 183 STREET,NY,10458,ESTHER SCHWARTZ,718-584-3645,718-584-7927,"0K,01,02,03,04,05,SE",BRONX,"690 EAST 183 STREET,NY","???, ???",40.8521385,-73.8858935
09X035 ,X,2,X035,P.S. 035 FRANZ SIEGEL,Elementary,1,9,9,261 EAST 163 STREET,NY,10451,GRACIELA NAVARRO,718-681-7214,718-681-7264,"0K,01,02,03,04,05,SE",BRONX,"261 EAST 163 STREET,NY","???, ???",40.8276096,-73.9180902
10X037 ,X,2,X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,K-8,1,10,10,360 WEST 230 STREET,NY,10463,KENNETH PETRICCIONE,718-796-0360,718-796-0054,"0K,01,02,03,04,05,06,07,08,SE",BRONX,"360 WEST 230 STREET,NY","???, ???",40.8798395,-73.9107885
10X046 ,X,2,X046,P.S. 046 EDGAR ALLAN POE,Elementary,1,10,10,279 EAST 196 STREET,NY,10458,Jennifer Alexander-Ade,718-584-4450,718-584-7402,"0K,01,02,03,04,05,SE",BRONX,"279 EAST 196 STREET,NY","???, ???",40.8669496,-73.8906272
12X047 ,X,2,X047,P.S. 047 JOHN RANDOLPH,Elementary,1,12,12,1794 EAST 172 STREET,NY,10472,THOMAS GUARNIERI,718-824-0950,718-904-1166,"0K,01,02,03,04,05,SE",BRONX,"1794 EAST 172 STREET,NY","???, ???",40.8325249,-73.8669819
07X049 ,X,2,X049,P.S. 049 WILLIS AVENUE,Elementary,1,7,7,383 EAST 139 STREET,NY,10454,LAURA GALLOWAY,718-292-4623,718-292-4568,"PK,0K,01,02,03,04,05,SE",BRONX,"383 EAST 139 STREET,NY","???, ???",40.810342,-73.9226265
09X053 ,X,2,X053,P.S. 053 BASHEER QUISIM,Elementary,1,9,9,360 EAST 168 STREET,NY,10456,COLLIN WOLFE,718-681-7276,718-681-7298,"PK,0K,01,02,03,04,05,SE",BRONX,"360 EAST 168 STREET,NY","???, ???",40.832774,-73.9118312
09X058 ,X,2,X058,P.S. 058,Elementary,1,9,9,459 EAST 176 STREET,NY,10457,VELMA GUNN,718-583-6866,718-583-6895,"0K,01,02,03,04,05,SE",BRONX,"459 EAST 176 STREET,NY","???, ???",40.8462754,-73.8988781
07X065 ,X,2,X065,P.S. 065 MOTHER HALE ACADEMY,Elementary,1,7,7,677 EAST 141 STREET,NY,10454,Jasmine Gonzalez,718-292-4628,718-292-4695,"PK,0K,01,02,03,04,05,SE",BRONX,"677 EAST 141 STREET,NY","???, ???",40.8077306,-73.9127678
12X092 ,X,2,X092,P.S. 092 BRONX,Elementary,1,12,12,700 EAST 179 STREET,NY,10457,MANUEL ESTRELLA,718-731-7900,718-294-1561,"PK,0K,01,02,03,04,05,SE",BRONX,"700 EAST 179 STREET,NY","???, ???",40.8463352,-73.8893226
10X118 ,X,2,X118,J.H.S. 118 WILLIAM W. NILES,Junior High-Intermediate-Middle,1,10,10,577 EAST 179 STREET,NY,10457,ELIZABETH LAWRENCE,718-584-2330,718-584-7763,"06,07,08,SE",BRONX,"577 EAST 179 STREET,NY","???, ???",40.8485594,-73.8925699
09X126 ,X,2,X126,P.S. 126 DR MARJORIE H DUNBAR,Elementary,1,9,9,175 WEST 166 STREET,NY,10452,Nadine Kee-Foster,718-681-6120,718-681-6131,"PK,0K,01,02,03,04,05,06,SE",BRONX,"175 WEST 166 STREET,NY","???, ???",40.8362011,-73.9283456
10X141 ,X,2,X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / H,Secondary School,1,10,10,660 WEST 237 STREET,NY,10463,LORI O'MARA,718-796-8516,718-796-8657,"06,07,08,09,10,11,12,SE",BRONX,"660 WEST 237 STREET,NY","???, ???",40.8877008,-73.913605
12X150 ,X,2,X150,P.S. 150 CHARLES JAMES FOX,Elementary,1,12,12,920 EAST 167 STREET,NY,10459,EDWIN IRIZARRY,718-328-7729,718-589-7590,"PK,0K,01,02,03,04,05,SE",BRONX,"920 EAST 167 STREET,NY","???, ???",40.8261982,-73.8942729
07X151 ,X,2,X151,J.H.S. 151 LOU GEHRIG,Junior High-Intermediate-Middle,1,7,7,250 EAST 156 STREET,NY,10451,Socorro Rivera,718-292-0260,718-292-5704,"06,07,08,SE",BRONX,"250 EAST 156 STREET,NY","???, ???",40.8225387,-73.9214871
07X154 ,X,2,X154,P.S. 154 JONATHAN D. HYATT,Elementary,1,7,7,333 EAST 135 STREET,NY,10454,Marsha Elliott,718-292-4742,718-292-4721,"PK,0K,01,02,03,04,05,SE",BRONX,"333 EAST 135 STREET,NY","???, ???",40.8082547,-73.9257485
84X165,X,2,X165,GRAND CONCOURSE CHARTER SCHOOL,Elementary,2,9,84,116-118 EAST 169 STREET,NY,10456,Ira Victor,718-590-1300,718-590-1065,"0K,01,02,03,04,05",BRONX,"116-118 EAST 169 STREET,NY","???, ???",40.8368265,-73.9175206
07X179 ,X,2,X179,P.S. 179,Elementary,1,7,7,468 EAST 140 STREET,NY,10454,SHERRY FONT WILLIAMS,718-292-2237,718-292-3623,"PK,0K,01,02,03,04,05,SE",BRONX,"468 EAST 140 STREET,NY","???, ???",40.8092157,-73.9200317
07X221 ,X,2,X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,Secondary School,1,7,7,360 EAST 145 STREET,NY,10454,ELLEN REDDON FLANAGAN,718-292-2211,718-292-2172,"06,07,08,09,10,11,12,SE",BRONX,"360 EAST 145 STREET,NY","???, ???",40.8135073,-73.9204774
07X223 ,X,2,X223,M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECH,Junior High-Intermediate-Middle,1,7,7,360 EAST 145 STREET,NY,10454,RAMON GONZALEZ,718-292-8627,718-292-7435,"06,07,08,SE",BRONX,"360 EAST 145 STREET,NY","???, ???",40.8135073,-73.9204774
09X227 ,X,2,X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,High school,1,9,9,240 EAST 172 STREET,NY,10457,D White,718-410-4077,718-293-9567,"09,10,11,12,SE",BRONX,"240 EAST 172 STREET,NY","???, ???",40.8396545,-73.911386
09X236 ,X,2,X236,P.S. 236 LANGSTON HUGHES,Elementary,1,9,9,499 EAST 175 STREET,NY,10457,BEVERLY ELLIS,718-583-7510,718-583-7512,"PK,0K,01,02,SE",BRONX,"499 EAST 175 STREET,NY","???, ???",40.844737,-73.8985892
10X237 ,X,2,X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND",High school,1,10,10,120 WEST 231 STREET,NY,10463,RODNEY FISHER,718-432-6491,718-796-7051,"09,10,11,12,SE",BRONX,"120 WEST 231 STREET,NY","???, ???",40.8754507,-73.9015164
09X239 ,X,2,X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP,High school,1,9,9,240 EAST 172 STREET,NY,10457,Avis Terrell,718-293-6768,718-293-4084,"09,10,11,12,SE",BRONX,"240 EAST 172 STREET,NY","???, ???",40.8396545,-73.911386
10X244 ,X,2,X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,Junior High-Intermediate-Middle,1,10,10,120 WEST 231 STREET,NY,10463,DOLORES PETERSON,718-601-2869,718-601-2867,"06,07,08,SE",BRONX,"120 WEST 231 STREET,NY","???, ???",40.8754507,-73.9015164
84X309,X,2,X309,SOUTH BRONX CHARTER SCHOOL FOR INT'L CULTURE & THE,Elementary,2,7,84,383 EAST 139 STREET,NY,10454,Evelyn Hey,718-401-9216,718-401-9219,"0K,01,02,03,04,05",BRONX,"383 EAST 139 STREET,NY","???, ???",40.810342,-73.9226265
10X319 ,X,2,X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH,High school,1,10,10,560 EAST 179 STREET,NY,10457,CAROL WIGGINS,718-294-0230,718-584-7809,"09,10,11,12,SE",BRONX,"560 EAST 179 STREET,NY","???, ???",40.8483469,-73.8935606
09X323 ,X,2,X323,BRONX WRITING ACADEMY,Junior High-Intermediate-Middle,1,9,9,270 EAST 167 STREET,NY,10456,KAMAR SAMUELS,718-293-9048,718-293-9748,"06,07,08,SE",BRONX,"270 EAST 167 STREET,NY","???, ???",40.8324496,-73.9139388
09X324 ,X,2,X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN,Junior High-Intermediate-Middle,1,9,9,250 EAST 164 STREET,NY,10456,JOHN BARNES,718-681-8287,718-681-8650,"06,07,08,09,10,SE",BRONX,"250 EAST 164 STREET,NY","???, ???",40.8281114,-73.9176612
09X329 ,X,2,X329,DREAMYARD PREPARATORY SCHOOL,High school,1,9,9,240 EAST 172 STREET,NY,10457,ROD BOWEN,718-410-4242,718-410-4312,"09,10,11,12,SE",BRONX,"240 EAST 172 STREET,NY","???, ???",40.8396545,-73.911386
08X333 ,X,2,X333,NEW SCHOOL #1 @ P.S. 60,Elementary,1,8,8,888 REV J A POLITE AVE,NY,10459,Arthur Brown,718-860-3313,718-842-8734,"PK,0K,01,02,03,04,SE",BRONX,"888 REV J A POLITE AVE,NY","???, ???",40.820082,-73.8986467
08X335 ,X,2,X335,NEW SCHOOL #2 @ P.S. 60,Elementary,1,8,8,888 REV J A POLITE AVE,NY,10459,ERIK WRIGHT,718-860-3401,718-860-4290,"PK,0K,04,05,SE",BRONX,"888 REV J A POLITE AVE,NY","???, ???",40.820082,-73.8986467
10X340 ,X,2,X340,P.S. 340,Elementary,1,10,10,25 WEST 195 STREET,NY,10468,NELLY MALDONADO,718-220-1830,718-220-1866,"PK,0K,01,02,03,04,05,06,SE",BRONX,"25 WEST 195 STREET,NY","???, ???",40.8694289,-73.897161
07X369 ,X,2,X369,YOUNG LEADERS ELEMENTARY SCHOOL,Elementary,1,7,7,468 EAST 140 STREET,NY,10454,KAREN COLLINS,718-292-7391,718-292-8535,"PK,0K,01,02,03,04,05,SE",BRONX,"468 EAST 140 STREET,NY","???, ???",40.8092157,-73.9200317
10X382 ,X,2,X382,"ELEMENTARY SCHOOL FOR MATH, SCIENCE, AND TECHNOLOG",Elementary,1,10,10,125 EAST 181 STREET,NY,10453,Avon Connell-Cowell,718-933-8061,718-933-8157,"0K,01,02,03,04,SE",BRONX,"125 EAST 181 STREET,NY","???, ???",40.8552107,-73.9032639
10X386 ,X,2,X386,SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,Elementary,1,10,10,125 EAST 181 STREET,NY,10453,HEATHER DAWE,718-563-3292,718-563-3453,"PK,0K,01,02,03,04,SE",BRONX,"125 EAST 181 STREET,NY","???, ???",40.8552107,-73.9032639
09X412 ,X,2,X412,BRONX HIGH SCHOOL OF BUSINESS,High school,1,9,9,240 EAST 172 STREET,NY,10457,ENRIQUE LIZARDI,718-410-4060,718-992-5760,"09,10,11,12,SE",BRONX,"240 EAST 172 STREET,NY","???, ???",40.8396545,-73.911386
09X413 ,X,2,X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,Secondary School,1,9,9,240 EAST 172 STREET,NY,10457,WILLIAM QUINTANA,718-410-4040,718-992-4129,"06,07,08,09,10,11,12,SE",BRONX,"240 EAST 172 STREET,NY","???, ???",40.8396545,-73.911386
09X414 ,X,2,X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICA,High school,1,9,9,240 EAST 172 STREET,NY,10457,NASIB HOXHA,718-992-3709,718-992-4170,"09,10,11,12,SE",BRONX,"240 EAST 172 STREET,NY","???, ???",40.8396545,-73.911386
11X418 ,X,2,X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,High school,1,11,11,2040 ANTIN PL,NY,10462,GEORGE YORK,718-319-5160,718-319-5165,"09,10,11,12,SE",BRONX,"2040 ANTIN PL,NY","???, ???",40.8517465,-73.8645056
10X445 ,X,2,X445,BRONX HIGH SCHOOL OF SCIENCE,High school,1,10,10,75 WEST 205 STREET,NY,10468,VALERIE REIDY,718-817-7700,718-733-7951,"09,10,11,12",BRONX,"75 WEST 205 STREET,NY","???, ???",40.8776621,-73.8910553
12X480 ,X,2,X480,BRONX REGIONAL HIGH SCHOOL,High school,1,12,12,1010 REV. J. A. POLITE AVENUE,NY,10459,COLIN THOMAS,718-991-2020,718-617-0257,"10,11,12",BRONX,"1010 REV. J. A. POLITE AVENUE,NY","???, ???",40.8233601,-73.8982976
09X505 ,X,2,X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",Secondary School,1,9,9,244 EAST 163 STREET,NY,10451,Meisha Ross-Porter,718-410-3430,718-410-3950,"06,07,08,09,10,11,12,SE",BRONX,"244 EAST 163 STREET,NY","???, ???",40.827572,-73.9189269
07X600 ,X,2,X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIG,High school,1,7,7,333 EAST 151 STREET,NY,10451,RENE CASSANOVA,718-993-5000,718-292-1944,"09,10,11,12,SE",BRONX,"333 EAST 151 STREET,NY","???, ???",40.8185183,-73.9199681
12X684 ,X,2,X684,WINGS ACADEMY,High school,1,12,12,1122 EAST 180 STREET,NY,10460,WAYNE COX,718-597-1751,718-931-8366,"09,10,11,12,SE",BRONX,"1122 EAST 180 STREET,NY","???, ???",40.8414085,-73.8751735
84X705,X,2,X705,FAMILY LIFE ACADEMY CHARTER SCHOOL,Elementary,2,9,84,14 WEST 170 STREET,NY,10452,Marilyn Calo,718-410-8100,718-410-8800,"0K,01,02,03,04,05,06,07",BRONX,"14 WEST 170 STREET,NY","???, ???",40.8402768,-73.9186545
06M210 ,M,1,M210,P.S. 210 - 21ST CENTURY ACADEMY,K-8,1,6,6,501-503 WEST 152 STREET,NY,10031,EVELYN LINARES,212-283-0012,212-283-0017,"PK,0K,01,02,03,04,05,06,07,08,SE",NEW YORK,"501-503 WEST 152 STREET,NY","???, ???",40.8300086,-73.9446481
12X248 ,X,2,X248,"METROPOLITAN HIGH SCHOOL, THE",High school,1,12,12,1180 REV. J.A. POLITE AVE.,NY,10459,CARLA THEODOROU,718-991-4634,718-542-7294,"09,10,11,12,SE",BRONX,"1180 REV. J.A. POLITE AVE.,NY","???, ???",40.827719,-73.8970008
12X278 ,X,2,X278,PEACE AND DIVERSITY ACADEMY,High school,1,12,12,1180 REV. J.A. POLITE AVE.,NY,10459,ANDREW TURAY,718-991-1855,718-991-2998,"09,10,11,12,SE",BRONX,"1180 REV. J.A. POLITE AVE.,NY","???, ???",40.827719,-73.8970008
14K017 ,K,2,K017,P.S. 017 HENRY D. WOODWORTH,Elementary,1,14,14,208 NORTH  5 STREET,NY,11211,Dr. Robert Marchi,718-387-2929,718-302-2311,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"208 NORTH  5 STREET,NY","???, ???",40.7152742,-73.957057
14K019 ,K,2,K019,P.S. 019 ROBERTO CLEMENTE,Elementary,1,14,14,325 SOUTH  3 STREET,NY,11211,MARIA WITHERSPOON,718-387-7820,718-782-2446,"0K,01,02,03,04,05,SE",BROOKLYN,"325 SOUTH  3 STREET,NY","???, ???",40.7099877,-73.9547556
20K048 ,K,2,K048,P.S. 048 MAPLETON,Elementary,1,20,20,6015 18 AVENUE,NY,11204,DIANE PICUCCI,718-232-3873,718-232-3451,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"6015 18 AVENUE,NY","???, ???",40.6215553,-73.987279
14K050 ,K,2,K050,J.H.S. 050 JOHN D. WELLS,Junior High-Intermediate-Middle,1,14,14,183 SOUTH  3 STREET,NY,11211,DENISE JAMISON,718-387-4184,718-302-2320,"06,07,08,SE",BROOKLYN,"183 SOUTH  3 STREET,NY","???, ???",40.7118634,-73.9600489
22K052 ,K,2,K052,P.S. 052 SHEEPSHEAD BAY,Elementary,1,22,22,2675 EAST  29 STREET,NY,11235,ILENE ALTSCHUL,718-648-0882,718-648-4636,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"2675 EAST  29 STREET,NY","???, ???",40.5874041,-73.9402515
18K066 ,K,2,K066,P.S. 66,K-8,1,18,18,845 EAST  96 STREET,NY,11236,Lucille Jackson,718-922-3505,718-922-3105,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"845 EAST  96 STREET,NY","???, ???",40.7828963,-73.9438616
18K068 ,K,2,K068,I.S. 068 ISAAC BILDERSEE,Junior High-Intermediate-Middle,1,18,18,956 EAST  82 STREET,NY,11236,Merve Williams,718-241-4800,718-241-5582,"06,07,08,SE",BROOKLYN,"956 EAST  82 STREET,NY","???, ???",40.7723574,-73.9466939
22K078 ,K,2,K078,J.H.S. 078 ROY H. MANN,Junior High-Intermediate-Middle,1,22,22,1420 EAST  68 STREET,NY,11234,Jacek Polubiec,718-763-4701,718-251-3439,"06,07,08,SE",BROOKLYN,"1420 EAST  68 STREET,NY","???, ???",40.6224885,-74.0006111
21K090 ,K,2,K090,P.S. 90 EDNA COHEN SCHOOL,Elementary,1,21,21,2840 WEST  12 STREET,NY,11224,GRETA HAWKINS,718-266-8090,718-266-7018,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"2840 WEST  12 STREET,NY","???, ???",40.5781983,-73.9801505
15K094 ,K,2,K094,P.S. 094 THE HENRY LONGFELLOW,Elementary,1,15,15,5010 6 AVENUE,NY,11220,JANETTE CABAN,718-435-6034,718-871-6251,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"5010 6 AVENUE,NY","???, ???",40.6436734,-74.0087146
02M151 ,M,1,M151,PS 151,Early Childhood,1,2,2,421 EAST  88 STREET,NY,10128,SAMANTHA KAPLAN,212-534-1627,212-534-1702,"0K,01,SE",NEW YORK,"421 EAST  88 STREET,NY","???, ???",40.7779236,-73.9473156
02M392 ,M,1,M392,MANHATTAN BUSINESS ACADEMY,High school,1,2,2,351 WEST  18 STREET,NY,10011,KAREN POLSONETTI,212-647-1983,212-647-1989,"09,10,SE",MANHATTAN,"351 WEST  18 STREET,NY","???, ???",40.7433678,-74.0025475
03M402 ,M,1,M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,High school,1,3,3,145 WEST  84 STREET,NY,10024,Alexandra Rathmann-Noonan,212-787-1189,212-787-1455,"09,10,SE",MANHATTAN,"145 WEST  84 STREET,NY","???, ???",40.7859536,-73.9740725
03M403 ,M,1,M403,THE GLOBAL LEARNING COLLABORATIVE,High school,1,3,3,145 WEST  84 STREET,NY,10024,JENNIFER ZINN,212-918-1983,212-877-1138,"09,10,SE",MANHATTAN,"145 WEST  84 STREET,NY","???, ???",40.7859536,-73.9740725
03M404 ,M,1,M404,INNOVATION DIPLOMA PLUS,High school,1,3,3,145 WEST  84 STREET,NY,10024,CASEY JONES,212-724-2039,212-724-2765,"09,10,11,12,SE",MANHATTAN,"145 WEST  84 STREET,NY","???, ???",40.7859536,-73.9740725
04M406 ,M,1,M406,GLOBAL TECHNOLOGY PREPARATORY,Junior High-Intermediate-Middle,1,4,4,160 EAST 120 STREET,NY,10035,CHRYSTINA RUSSELL,212-722-1395,212-722-5864,"06,07,SE",MANHATTAN,"160 EAST 120 STREET,NY","???, ???",40.8006309,-73.9393226
